Cinsiyet,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi,Yaş Grubu_18-30,Yaş Grubu_31-40,Yaş Grubu_41-50,Yaş Grubu_51-60,Yaş Grubu_>60
0,0,3,2,0.17620646620288619,1,1,0.028121941106218726,0.1788228338432664,0,obek_5,0.32810894480267794,0,0,0,0,1
1,1,3,2,0.14776253820886096,1,3,0.024069849217045344,0.13795128229877748,0,obek_5,0.4129417194866227,0,1,0,0,0
0,0,3,1,0.1477104752668922,0,1,0.03680231245562626,0.15250337840761805,0,obek_5,0.45479210659282027,0,0,0,1,0
0,1,3,0,0.16621852882654467,3,0,0.024260979727321164,0.14301123571468718,0,obek_5,0.4395406141939875,0,1,0,0,0
0,1,3,0,0.16968281681525982,3,1,0.017109759457630005,0.14932836215762973,0,obek_5,0.43756928674135753,1,0,0,0,0
0,1,3,1,0.11881177476509733,1,3,0.02700380330079874,0.13574229498554968,0,obek_5,0.4336519263316188,0,1,0,0,0
0,1,3,0,0.1600291084449869,3,2,0.031482864604000876,0.1503058411190258,1,obek_5,0.44366241312598237,1,0,0,0,0
0,1,3,1,0.15402054655113437,3,1,0.037603508756925516,0.18167869224671743,0,obek_5,0.4188523063161627,0,1,0,0,0
0,0,3,2,0.10222758965416065,1,0,0.03459193108237285,0.17420927240798384,0,obek_5,0.3879124548862406,0,1,0,0,0
0,1,3,1,0.14814206508192845,3,0,0.028769075287354617,0.14836189375742953,0,obek_5,0.4412409108906857,0,1,0,0,0
1,1,2,1,0.10965312485596429,3,2,0.02244395260293884,0.15818117087942615,0,obek_5,0.41358362056231435,0,1,0,0,0
1,0,3,1,0.13373511844778654,1,4,0.018749016847430286,0.17116872673854833,1,obek_5,0.4110230712414383,1,0,0,0,0
0,0,3,2,0.14734051859768613,1,0,0.026074885235453746,0.16038203748062602,0,obek_5,0.45106769664909174,0,1,0,0,0
1,1,6,1,0.14290603763721949,3,4,0.03246317143440569,0.17130710877958147,0,obek_5,0.3238732050737982,1,0,0,0,0
0,1,3,1,0.15348616347332894,1,0,0.02100532471593826,0.16176870697084147,0,obek_5,0.3907219411714915,0,1,0,0,0
