Cinsiyet,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi,Yaş Grubu_18-30,Yaş Grubu_31-40,Yaş Grubu_41-50,Yaş Grubu_51-60,Yaş Grubu_>60
0,1,3,1,0.1956090330995868,1,2,0.1544413246940001,0.8566464613866369,1,obek_8,0.5777004887190714,1,0,0,0,0
1,1,4,1,0.2512518683631393,0,2,0.13902184302392623,0.8763571941522311,0,obek_8,0.8910076876714897,1,0,0,0,0
1,1,4,1,0.1962865253045358,0,2,0.13694779026400317,0.7501744602108025,1,obek_8,0.6956107691562544,1,0,0,0,0
0,1,4,1,0.22793722416156512,0,3,0.13676785340359227,0.7466370922467961,1,obek_8,0.751984144124046,1,0,0,0,0
0,1,3,2,0.16837987472800187,0,1,0.1381597847092937,0.7151046875750193,1,obek_8,0.7992426360374586,1,0,0,0,0
0,1,2,1,0.16695836276850215,1,3,0.13217881159947018,0.7182578103683516,1,obek_8,0.5050903780215815,1,0,0,0,0
0,1,3,0,0.19177980883546628,0,1,0.15389930854032566,0.7996948472961518,1,obek_8,0.718556149237945,1,0,0,0,0
1,1,3,0,0.2198425998341957,1,0,0.12654545469668946,0.7087775734718844,0,obek_8,0.7185692016335299,1,0,0,0,0
0,1,3,1,0.15883478592750888,1,4,0.124628384404391,0.8506174447899228,1,obek_8,0.4517288367046744,1,0,0,0,0
0,1,6,1,0.19978756789123236,0,3,0.125108666111355,0.7817159519014408,1,obek_8,0.4752453779144879,1,0,0,0,0
1,0,5,0,0.17387187737443124,0,0,0.1363352285904221,0.8186881002688977,1,obek_8,0.49176159795498975,1,0,0,0,0
1,1,3,0,0.16431277896306512,1,2,0.13973092920311592,0.7257028682409488,1,obek_8,0.5863961892076894,1,0,0,0,0
1,1,4,0,0.14859874847559632,0,3,0.15055463732967955,0.8444948637573891,1,obek_8,0.4406530287554549,1,0,0,0,0
1,1,3,1,0.1935506853234436,3,4,0.13939899660443036,0.8397817148292372,1,obek_8,0.542859000944326,1,0,0,0,0
1,1,6,1,0.1461387421569085,0,2,0.14856539319204495,0.7769774966002179,1,obek_8,0.786756211061306,1,0,0,0,0
0,1,2,1,0.15252407191144712,0,2,0.14278226175877898,0.6462189090429953,1,obek_8,0.6687758181442297,1,0,0,0,0
0,1,2,1,0.14633286926326064,3,3,0.13267874341279462,0.8425022450373604,1,obek_8,0.7426778047019735,1,0,0,0,0
0,1,5,0,0.20387199211807688,0,4,0.13431004332865087,0.7759763619876602,1,obek_8,0.537114179166574,1,0,0,0,0
