Cinsiyet,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi,Yaş Grubu_18-30,Yaş Grubu_31-40,Yaş Grubu_41-50,Yaş Grubu_51-60,Yaş Grubu_>60
1,0,5,3,0.37738915486251007,1,2,0.8458945118218619,0.431331909791509,0,obek_6,0.17144735535773822,0,0,0,1,0
0,0,4,3,0.38710783481697575,3,3,0.8036090888831424,0.4363385170811529,0,obek_6,0.18775538475489448,0,0,0,1,0
0,1,5,3,0.40167938460566033,3,3,0.8496835030773979,0.40480528914743313,0,obek_6,0.20829946116177644,0,0,0,1,0
0,0,4,1,0.3912248384868182,3,0,0.8181425270996294,0.4592176138862731,0,obek_6,0.16358963479555805,0,1,0,0,0
0,0,3,2,0.23089184261298543,1,3,0.09913579273357279,0.23664154528535994,1,obek_6,0.056963682970055586,0,0,1,0,0
1,0,5,1,0.38401639868044724,2,2,0.803756054606573,0.40234750520237844,0,obek_6,0.17159186868673854,0,0,0,0,1
0,0,8,2,0.39176708270256283,3,3,0.7460761940540319,0.4565849942101304,0,obek_6,0.18908334353486936,0,0,0,0,1
1,0,5,3,0.3753890477055447,0,2,0.764656857933995,0.4336418242856729,0,obek_6,0.16504034036157347,0,0,0,0,1
0,0,5,3,0.37945222653733357,0,0,0.8939155081646912,0.46029140270652813,0,obek_6,0.22724333195570587,0,0,0,1,0
0,1,8,1,0.6956164857735435,0,4,0.7067557811805092,0.5951867117819651,0,obek_6,0.37283730982753055,1,0,0,0,0
1,0,5,1,0.38356531151060846,2,4,0.8465029826352337,0.5227299463503576,0,obek_6,0.2151345481690897,0,0,0,1,0
