Cinsiyet,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi,Yaş Grubu_18-30,Yaş Grubu_31-40,Yaş Grubu_41-50,Yaş Grubu_51-60,Yaş Grubu_>60
1,1,6,1,0.6132649285690577,0,0,0.637245441186941,0.577419380323328,0,obek_4,0.41521830705024465,0,1,0,0,0
0,1,5,2,0.08539113197819403,3,0,0.08351023844439054,0.019029488178881993,0,obek_4,0.024873065987324583,0,1,0,0,0
0,1,4,0,0.8055488858340828,1,0,0.6548117813043051,0.5494581813804227,0,obek_4,0.39019414498995103,0,1,0,0,0
0,1,6,1,0.886912970054871,0,2,0.6162522978923624,0.6221767064456787,0,obek_4,0.38167918566803305,0,1,0,0,0
0,1,4,1,0.592296529625366,0,3,0.7000170753779351,0.5705713816549842,0,obek_4,0.3070429598936799,1,0,0,0,0
1,1,7,1,0.6116897068545049,0,0,0.6595205861981637,0.608372734832374,0,obek_4,0.32932726488826247,0,1,0,0,0
0,1,6,0,0.7218705673603999,0,2,0.7444801602841702,0.6971357502247592,0,obek_4,0.39830383407233966,1,0,0,0,0
1,1,5,1,0.866532451926803,0,1,0.7543581132799964,0.6422463612218179,0,obek_4,0.44441933089325153,1,0,0,0,0
0,1,1,1,0.24742500206077897,3,0,0.49175950504089155,0.3107227808470736,0,obek_4,0.43630852633867045,0,1,0,0,0
1,1,8,1,0.8394371328248208,0,2,0.6037336285945203,0.5224998912280545,0,obek_4,0.4378215080436283,0,1,0,0,0
1,1,5,0,0.6457034572236086,0,1,0.702719886574094,0.542460380910818,0,obek_4,0.3840502292612018,0,1,0,0,0
1,1,4,0,0.8668532582474892,0,1,0.6187258705500847,0.6078270119368583,0,obek_4,0.3090375592047387,1,0,0,0,0
0,1,4,2,0.8511596671901305,0,4,0.6275645315422043,0.5835882134244854,0,obek_4,0.4297012204074562,1,0,0,0,0
1,1,5,1,0.7081265257403524,2,0,0.6712996164196345,0.6783660020296474,0,obek_4,0.45161427650040964,0,1,0,0,0
0,1,0,1,0.6013307380941904,0,1,0.6212742067623045,0.6304023087917666,0,obek_4,0.44930142482057434,0,1,0,0,0
1,0,5,1,0.6165379051133743,0,2,0.7019706110065846,0.6200167008887054,0,obek_4,0.42378504680293394,1,0,0,0,0
0,1,5,1,0.7374285670261691,0,3,0.6731375170327851,0.6513234372475332,0,obek_4,0.4373949957252029,0,1,0,0,0
1,1,5,0,0.6039354366462811,0,1,0.6183340991546058,0.6378266424089292,0,obek_4,0.42581345471996845,1,0,0,0,0
0,1,6,1,0.9452376203790973,0,3,0.7299469525092506,0.6236934013760311,0,obek_4,0.39211480343039656,1,0,0,0,0
1,1,6,0,0.8935549144184988,0,3,0.6338162486778383,0.6784940168510429,0,obek_4,0.4192215113828966,0,1,0,0,0
0,1,8,1,0.7625401010119802,0,1,0.6286076502352766,0.5311028535951875,0,obek_4,0.3750431870422637,0,1,0,0,0
1,1,6,1,0.8166579161795612,0,1,0.6749568595134214,0.5916650112495764,0,obek_4,0.3816452457811981,1,0,0,0,0
0,0,5,1,0.7811410765593028,0,4,0.7886188240150835,0.6379479646887245,0,obek_4,0.45212448302161484,0,1,0,0,0
